symbol,display_symbol,name_en,name_local,sector,description,open,high,low,close,prev_close,price,change_pct,gap_pct,candle_body_pct,candle_range_pct,upper_shadow_pct,lower_shadow_pct,candle_type,rsi,high_52w,low_52w,from_high_pct,volume_ratio,trailing_pe,price_to_book,return_on_equity,revenue_growth,market_cap,target_price,upside_pct,macd,macd_signal,macd_hist,macd_state,bollinger_width_pct,bollinger_percent_b,trend,trend_score,ma_60,diff_60,near_60,ma_120,diff_120,near_120,ma_240,diff_240,near_240,near_count,chart_score,technical_score,fundamental_score,theme_score,flow_score,composite_score
058470.KQ,058470,Leeno Industrial Inc.,리노공업,반도체 부품,"반도체 검사용 소켓·핀 제조, 글로벌 점유율 1위",113800.0,124000.0,113800.0,119300.0,112100.0,119300.0,6.42,1.52,4.83,8.96,4.13,0.0,Bullish,56.5,127000.0,34500.0,-6.1,2.86,,,,,,,,2397.0922,2741.4914,-344.3991,Improving,16.76,0.747,Strong Uptrend,5,108238.0,10.22,False,86219.0,38.37,False,67491.0,76.76,False,0,68.0,82.0,50,78.11,75.75,70.19
000250.KQ,000250,"Sam Chun Dang Pharm. Co., Ltd",삼천당제약,제약,삼천당제약 (KOSDAQ150),443000.0,443500.0,412000.0,415500.0,443000.0,415500.0,-6.21,0.0,-6.21,7.11,0.11,0.79,Strong Bearish,37.0,1184000.0,130900.0,-64.9,0.29,,,,,,,,-78695.7323,-77361.6922,-1334.0401,Improving,55.99,0.236,Uptrend,4,650067.0,-36.08,False,452138.0,-8.1,False,318244.0,30.56,False,0,40.0,57.6,50,39.3,40.25,46.32
196170.KQ,196170,Alteogen Inc.,알테오젠,바이오,"피하주사 플랫폼 ALT-B4, ADC 항체-약물 접합체 개발",379500.0,379500.0,366000.0,368500.0,380000.0,368500.0,-3.03,-0.13,-2.9,3.56,0.0,0.66,Strong Bearish,50.1,559000.0,317500.0,-34.1,0.95,,,,,,,,1573.7359,-150.5117,1724.2476,Positive,8.99,0.556,Strong Downtrend,0,371867.0,-0.91,True,425525.0,-13.4,False,426240.0,-13.55,False,1,18.67,67.6,50,34.01,46.0,42.2
028300.KQ,028300,HLB Inc.,HLB,바이오,"리보세라닙 항암 신약 개발, HLB그룹 지주",62200.0,62900.0,60800.0,60800.0,63000.0,60800.0,-3.49,-1.27,-2.25,3.38,1.13,0.0,Strong Bearish,55.5,68200.0,37000.0,-10.9,0.52,,,,,,,,2350.3657,2531.6074,-181.2417,Bearish,31.01,0.564,Strong Uptrend,5,54180.0,12.22,False,52393.0,16.05,False,49345.0,23.21,False,0,68.0,54.0,50,34.01,52.75,54.28
950160.KQ,950160,"Kolon TissueGene, Inc.",코오롱티슈진,바이오,코오롱티슈진 (KOSDAQ150),0.0,102000.0,102000.0,102000.0,107400.0,102000.0,-5.03,-100.0,,,,,Flat,49.2,127000.0,32500.0,-19.7,0.0,,,,,,,,589.9556,504.6909,85.2648,Positive,16.06,0.498,Strong Uptrend,5,101327.0,0.66,True,86986.0,17.26,False,64233.0,58.8,False,1,86.67,70.6,50,34.01,52.75,64.03
086520.KQ,086520,EcoPro Co.,에코프로,이차전지 소재,"에코프로비엠 지주, 이차전지 소재 그룹사",0.0,152900.0,152900.0,152900.0,159900.0,152900.0,-4.38,-100.0,,,,,Flat,49.6,185000.0,38350.0,-17.4,0.0,,,,,,,,2334.8709,1775.8723,558.9986,Positive,18.7,0.527,Uptrend,4,156097.0,-2.05,False,127752.0,19.69,False,90013.0,69.86,False,0,63.0,70.6,50,47.96,52.75,59.02
277810.KQ,277810,Rainbow Robotics Inc.,레인보우로보틱스,로봇,"협동로봇·이족보행로봇 개발, 삼성전자 지분 투자",0.0,664000.0,664000.0,664000.0,664000.0,664000.0,0.0,-100.0,,,,,Flat,59.7,880000.0,253500.0,-24.5,0.0,,,,,,,,7622.7521,-4597.1411,12219.8932,Positive,25.6,0.876,Uptrend,4,668083.0,-0.61,True,567646.0,16.97,False,430031.0,54.41,False,1,74.67,64.6,50,68.0,57.25,64.48
247540.KQ,247540,EcoPro BM Co.,에코프로비엠,이차전지 소재,"NCM 양극재 제조, 전기차 배터리 핵심 소재",214000.0,214000.0,206000.0,206000.0,212500.0,206000.0,-3.06,0.71,-3.74,3.74,0.0,0.0,Strong Bearish,50.5,246000.0,81200.0,-16.3,0.96,,,,,,,,3064.9447,3131.6544,-66.7096,Bearish,13.14,0.493,Strong Uptrend,5,203237.0,1.36,True,182414.0,12.93,False,149125.0,38.14,False,1,86.67,57.0,50,47.96,52.75,62.72
298380.KQ,298380,ABL Bio Inc.,에이비엘바이오,헬스케어,"ABL Bio Inc., a biotech research company, focuses on the development of therapeutic drugs for immuno-oncology and neurod",140000.0,140600.0,134100.0,134800.0,142000.0,134800.0,-5.07,-1.41,-3.71,4.64,0.43,0.5,Strong Bearish,36.4,245500.0,59700.0,-45.1,1.15,,,,,,,,-7497.8185,-6256.6069,-1241.2116,Bearish,22.24,-0.09,Downtrend,2,174432.0,-22.72,False,179804.0,-25.03,False,130752.0,3.1,False,0,23.0,41.0,50,34.74,50.0,37.36
087010.KQ,087010,"Peptron, Inc.",펩트론,바이오,펩트론 (KOSDAQ150),267500.0,275500.0,260000.0,260500.0,270000.0,260500.0,-3.52,-0.93,-2.62,5.79,2.99,0.19,Bearish Rejection,43.9,386000.0,157300.0,-32.5,0.93,,,,,,,,-5385.7127,-6328.5872,942.8745,Positive,14.16,0.315,Neutral,3,280017.0,-6.97,False,277754.0,-6.21,False,266873.0,-2.39,False,0,43.0,68.6,50,34.01,46.0,49.75
